
time,wx,wy,wz,ax,ay,az
0.003,0.05,-0.04,-0.00,0.17,0.05,-0.38
0.004,0.04,0.00,-0.01,0.17,0.05,-0.38
0.005,0.03,0.03,-0.01,0.17,0.05,-0.38
0.006,0.03,0.03,-0.01,0.08,0.05,-0.14
0.006,0.03,0.03,-0.01,0.05,0.05,0.00
0.007,0.03,0.04,-0.00,0.05,0.05,0.00
0.008,0.03,0.04,-0.00,-0.02,0.05,-0.03
0.009,0.04,0.04,0.00,-0.02,0.05,-0.03
0.01,0.04,0.04,0.00,-0.09,0.05,0.01
0.01,0.04,0.05,0.00,-0.09,0.05,0.01
0.011,0.04,0.03,0.01,-0.09,0.05,0.01
0.012,0.04,0.03,0.01,-0.17,0.09,0.01
0.013,0.04,0.03,0.01,-0.18,0.10,-0.01
0.013,0.05,0.02,0.01,-0.18,0.10,-0.01
0.014,0.04,0.01,0.01,-0.18,0.10,-0.01
0.015,0.04,0.01,0.01,-0.19,0.07,0.01
0.021,0.04,0.00,0.02,-0.19,0.07,0.01
0.022,0.04,0.00,0.02,-0.17,0.09,-0.00
0.023,0.04,-0.00,0.01,-0.17,0.09,-0.00
0.024,0.04,-0.00,0.01,-0.11,0.06,-0.06
0.031,0.04,-0.00,0.01,-0.10,0.05,-0.03
0.033,0.04,-0.01,0.02,-0.10,0.05,-0.03
0.034,0.03,-0.01,0.02,-0.10,0.05,-0.03
0.035,0.03,-0.01,0.02,-0.03,0.02,-0.06
0.047,0.03,-0.01,0.02,0.01,-0.01,-0.07
0.049,0.03,-0.01,0.01,0.01,-0.01,-0.07
0.049,0.02,-0.02,0.01,0.01,-0.01,-0.07
0.05,0.02,-0.02,0.01,0.06,-0.01,-0.03
0.05,0.02,-0.02,0.01,0.07,-0.03,-0.06
0.051,0.02,-0.02,0.01,0.07,-0.03,-0.06
0.053,0.02,-0.01,-0.00,0.07,-0.03,-0.06
0.054,0.02,-0.01,-0.00,0.07,-0.01,-0.03
0.058,0.02,-0.02,-0.00,0.07,-0.01,-0.03
0.06,0.02,-0.02,-0.00,0.11,-0.00,0.02
0.064,0.02,-0.02,-0.00,0.13,0.00,0.01
0.065,0.02,-0.02,-0.01,0.13,0.00,0.01
0.068,0.02,-0.02,-0.01,0.07,-0.01,-0.03
0.069,0.02,-0.01,-0.02,0.07,-0.01,-0.03
0.075,0.01,-0.01,-0.02,0.07,-0.01,-0.03
0.077,0.01,-0.01,-0.02,-0.00,0.01,-0.08
0.078,0.01,-0.01,-0.02,-0.00,0.01,-0.08
0.079,0.01,-0.01,-0.02,-0.06,0.03,-0.14
0.083,0.01,-0.01,-0.02,-0.06,0.03,-0.14
0.084,0.01,-0.01,-0.02,-0.08,0.04,-0.08
0.089,0.01,-0.01,-0.02,-0.05,0.04,-0.07
0.091,0.01,-0.01,-0.02,-0.05,0.04,-0.07
0.093,0.00,-0.01,-0.02,-0.05,0.04,-0.07
0.094,0.00,-0.01,-0.02,-0.08,0.09,-0.07
0.098,0.00,-0.01,-0.03,-0.08,0.09,-0.07
0.099,0.00,-0.01,-0.03,-0.08,0.07,-0.04
0.106,-0.00,-0.01,-0.02,-0.08,0.07,-0.04
0.107,-0.00,-0.01,-0.02,-0.07,0.06,-0.02
0.108,-0.00,-0.01,-0.02,-0.05,0.09,-0.01
