
time,ax,ay,az,wx,wy,wz
0.003,0.05,-0.06,-0.07,0.04,0.12,-0.01
0.004,0.02,-0.03,-0.10,0.04,0.12,-0.01
0.004,0.02,-0.03,-0.10,0.04,0.11,-0.00
0.005,0.02,-0.03,-0.10,0.04,0.11,-0.00
0.005,-0.01,0.00,-0.10,0.04,0.11,-0.00
0.005,-0.01,0.00,-0.10,0.04,0.11,0.01
0.006,-0.01,0.00,-0.10,0.03,0.10,0.01
0.006,-0.02,0.03,-0.09,0.03,0.10,0.01
0.006,-0.02,0.03,-0.09,0.03,0.09,0.01
0.006,-0.02,0.03,-0.09,0.03,0.08,0.02
0.007,-0.01,0.04,-0.10,0.03,0.08,0.02
0.007,-0.01,0.04,-0.10,0.02,0.08,0.02
0.007,-0.01,0.04,-0.10,0.02,0.07,0.02
0.008,0.02,0.05,-0.13,0.02,0.07,0.02
0.008,0.02,0.05,-0.13,0.01,0.07,0.03
0.008,0.02,0.05,-0.13,0.01,0.06,0.03
0.009,0.04,0.03,-0.18,0.01,0.06,0.03
0.009,0.04,0.03,-0.18,-0.01,0.06,0.03
0.009,0.04,0.03,-0.18,-0.01,0.05,0.03
0.009,0.08,0.04,-0.20,-0.01,0.05,0.03
0.016,0.08,0.04,-0.20,-0.02,0.04,0.02
0.016,0.08,0.04,-0.20,-0.03,0.04,0.03
0.016,0.08,0.04,-0.22,-0.03,0.04,0.03
0.016,0.08,0.04,-0.22,-0.04,0.04,0.02
0.017,0.08,0.04,-0.22,-0.05,0.03,0.02
0.017,0.08,0.03,-0.22,-0.05,0.03,0.02
0.03,0.08,0.03,-0.22,-0.06,0.02,0.02
0.03,0.06,0.03,-0.21,-0.06,0.02,0.02
0.03,0.06,0.03,-0.21,-0.07,0.03,0.02
0.03,0.06,0.03,-0.21,-0.08,0.02,0.02
0.03,0.06,0.03,-0.21,-0.08,0.02,0.02
0.031,0.07,0.05,-0.20,-0.08,0.02,0.02
0.031,0.07,0.05,-0.20,-0.09,0.02,0.02
0.031,0.07,0.05,-0.20,-0.09,0.01,0.01
0.031,0.07,0.05,-0.15,-0.09,0.01,0.01
0.031,0.07,0.05,-0.15,-0.09,0.01,0.01
0.034,0.07,0.05,-0.15,-0.09,0.01,0.01
0.034,0.05,0.06,-0.11,-0.09,0.01,0.01
0.034,0.05,0.06,-0.11,-0.10,0.01,0.01
0.037,0.05,0.06,-0.11,-0.10,0.01,0.01
0.037,0.05,0.06,-0.07,-0.10,0.01,0.01
0.038,0.05,0.06,-0.07,-0.10,0.01,0.01
0.041,0.05,0.06,-0.07,-0.09,0.00,0.01
0.041,0.00,0.07,-0.05,-0.09,0.00,0.01
0.042,0.00,0.07,-0.05,-0.09,0.00,0.00
0.045,0.00,0.07,-0.05,-0.09,0.00,0.00
0.045,-0.00,0.07,-0.04,-0.09,0.00,0.00
0.046,-0.00,0.07,-0.04,-0.09,0.01,0.01
0.049,-0.00,0.07,-0.04,-0.09,0.01,0.00
0.049,-0.02,0.06,-0.01,-0.09,0.01,0.00
0.05,-0.02,0.06,-0.01,-0.08,0.01,0.01
0.053,-0.02,0.06,-0.01,-0.08,0.01,0.00
